method,n_samples,n_clusters,silhouette,nmi,ari,purity
Multimodal_Concat,999,10,0.3433668613433838,0.9902617797385826,0.9911022044088176,0.995995995995996
Multimodal_Concat,999,10,0.3433668613433838,0.9902617797385826,0.9911022044088176,0.995995995995996
multimodal_clustering,999,10,0.0612758882343769,0.6529308819576736,0.5722467617584176,0.7847847847847848
Multimodal_Concat,999,10,0.0612758882343769,0.6529308819576736,0.5722467617584176,0.7847847847847848
Multimodal_Concat,999,10,0.06127588823437691,0.6529308819576736,0.5722467617584176,0.7847847847847848
